web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588814199-3336","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","K","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=K","Kaki Leung","https://wiki.d-addicts.com/Kaki_Leung","165","null","/images/e/e5/Kaki_Leung.jpg"
"1588814266-3405","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","J","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=J","Jessica Lee","https://wiki.d-addicts.com/Jessica_Lee","162","45","/images/d/de/Jessicalee.jpg"
"1588812301-1036","https://wiki.d-addicts.com/Category:HKArtist","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","H","https://wiki.d-addicts.com/index.php?title=Category:HKSinger&from=H","Hacken Lee","https://wiki.d-addicts.com/Hacken_Lee","173","58","/images/4/4d/Hacken_Lee.jpg"
"1588814982-4250","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","A","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=A","Au Yun Dang","https://wiki.d-addicts.com/Au_Yun_Dang","null","null",""
"1588815952-5143","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","N","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=N","Newton Lai","https://wiki.d-addicts.com/Newton_Lai","null","null","/images/f/f4/Picture.jpg"
"1588816768-5886","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","E","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=E","Eric Wan","https://wiki.d-addicts.com/Eric_Wan","173","64","/images/e/e6/EricWan.jpg"
"1588816977-6078","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","C","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=C","Chin Siu Ho","https://wiki.d-addicts.com/Chin_Siu_Ho","null","null","/images/e/e8/ChinSiuHo.jpg"
"1588813025-1880","https://wiki.d-addicts.com/Category:HKArtist","HKDirector","https://wiki.d-addicts.com/Category:HKDirector","W","https://wiki.d-addicts.com/index.php?title=Category:HKDirector&from=W","Wu Jin Yuan","https://wiki.d-addicts.com/Wu_Jin_Yuan","null","null","/images/a/a8/WuJinYuan.jpg"
"1588813763-2780","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","M","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=M","Mary Hon","https://wiki.d-addicts.com/Mary_Hon","160","50","/images/thumb/f/f0/MaryHon.jpg/190px-MaryHon.jpg"
"1588813743-2755","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","M","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=M","Michelle Saram","https://wiki.d-addicts.com/Michelle_Saram","167","46","/images/3/33/MichelleSaram.jpg"
