web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588828951-14638","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","B","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=B","Bakarythm","https://wiki.d-addicts.com/Bakarythm","165","null","/images/thumb/b/bf/Bakarythm_masuno.jpg/300px-Bakarythm_masuno.jpg"
"1588811669-255","https://wiki.d-addicts.com/Category:JArtist","JWriter","https://wiki.d-addicts.com/Category:JWriter","S","https://wiki.d-addicts.com/index.php?title=Category:JWriter&from=S","Sato Shinsuke","https://wiki.d-addicts.com/Sato_Shinsuke","null","null",""
"1588814055-3162","https://wiki.d-addicts.com/Category:JArtist","JSinger","https://wiki.d-addicts.com/Category:JSinger","K","https://wiki.d-addicts.com/index.php?title=Category:JSinger&from=K","Kinomi Nana","https://wiki.d-addicts.com/Kinomi_Nana","160","47","/images/c/c3/Kinomi_nana.jpg"
"1588817877-6745","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","T","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=T","Takara Hikari","https://wiki.d-addicts.com/Takara_Hikari","170","42","/images/thumb/3/3b/Takarahikari.jpg/200px-Takarahikari.jpg"
"1588815813-5032","https://wiki.d-addicts.com/Category:JArtist","JProducer","https://wiki.d-addicts.com/Category:JProducer","I","https://wiki.d-addicts.com/index.php?title=Category:JProducer&from=I","Ito Kyo","https://wiki.d-addicts.com/Ito_Kyo","null","null",""
"1588821546-9339","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","I","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=I","Ichikawa Mikako","https://wiki.d-addicts.com/Ichikawa_Mikako","169","null","/images/1/1f/IchikawaMikako.jpg"
"1588812638-1452","https://wiki.d-addicts.com/Category:JArtist","JSinger","https://wiki.d-addicts.com/Category:JSinger","T","https://wiki.d-addicts.com/index.php?title=Category:JSinger&from=T","Tsumabuki Satoshi","https://wiki.d-addicts.com/Tsumabuki_Satoshi","171","55","/images/thumb/f/ff/Tsumabuki-Satoshi-p2.jpg/180px-Tsumabuki-Satoshi-p2.jpg"
"1588827289-13491","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","K","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=K","Kaku Tomohiro","https://wiki.d-addicts.com/Kaku_Tomohiro","169","null","/images/2/2e/Kaku-Tomohiro.jpg"
"1588821568-9365","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","H","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=H","Hotta Risa","https://wiki.d-addicts.com/Hotta_Risa","161","null","/images/thumb/e/e0/Hotta_Risa.jpg/300px-Hotta_Risa.jpg"
"1588825026-11681","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","S","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=S","Sanada Yuma","https://wiki.d-addicts.com/Sanada_Yuma","null","null","/images/7/75/SanadaYuma.jpg"
"1588820303-8525","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","K","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=K","Kokubu Sachiko","https://wiki.d-addicts.com/Kokubu_Sachiko","163","null","/images/8/89/Kokubu_Sachiko.jpg"
"1588824051-11021","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","T","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=T","Tarusawa Yuki","https://wiki.d-addicts.com/Tarusawa_Yuki","175","68",""
"1588818855-7465","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","O","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=O","Ozaki Chiaki","https://wiki.d-addicts.com/Ozaki_Chiaki","150","null","/images/3/34/Ozaki_Chiaki.jpg"
"1588828802-14571","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","D","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=D","Daniel Kahl","https://wiki.d-addicts.com/Daniel_Kahl","null","null","/images/d/d9/Daniel_Kahl-headshot.jpg"
