web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588828553-14437","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","A","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=A","Ahn Yong Joon","https://wiki.d-addicts.com/Ahn_Yong_Joon","175","56","/images/3/37/Ahn_Yong_Joon.jpg"
"1588827971-13999","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","E","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=E","Eun Se Hyun","https://wiki.d-addicts.com/Eun_Se_Hyun","null","null",""
"1588821302-9196","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","J","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=J","Jung Joo Eun","https://wiki.d-addicts.com/Jung_Joo_Eun","171","49","/images/thumb/5/51/Jung_Joo_Eun.jpg/200px-Jung_Joo_Eun.jpg"
"1588819287-7765","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","P","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=P","Park Min Ha (2007)","https://wiki.d-addicts.com/Park_Min_Ha_(2007)","null","null","/images/thumb/3/3b/Park_Min_Ha.jpg/300px-Park_Min_Ha.jpg"
"1588812410-1166","https://wiki.d-addicts.com/Category:KArtist","KWriter","https://wiki.d-addicts.com/Category:KWriter","K","https://wiki.d-addicts.com/index.php?title=Category:KWriter&from=K","Kim Ji Soo (writer)","https://wiki.d-addicts.com/Kim_Ji_Soo_(writer)","null","null",""
"1588811611-164","https://wiki.d-addicts.com/Category:KArtist","Oegugin","https://wiki.d-addicts.com/Category:Oegugin","J","https://wiki.d-addicts.com/index.php?title=Category:Oegugin&from=J","Joey Albright","https://wiki.d-addicts.com/Joey_Albright","186","88","/images/thumb/a/a6/Joey_albright.jpg/220px-Joey_albright.jpg"
"1588825600-12064","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","M","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=M","Moon Woo Jin","https://wiki.d-addicts.com/Moon_Woo_Jin","null","null","/images/thumb/8/8b/Moon_Woo_Jin.jpg/300px-Moon_Woo_Jin.jpg"
"1588826424-12706","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","K","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=K","Kim Hyung Chan","https://wiki.d-addicts.com/Kim_Hyung_Chan","174","65","/images/1/11/KimHyeongChan.jpg"
"1588828577-14451","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","A","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=A","Ahn Shin Woo","https://wiki.d-addicts.com/Ahn_Shin_Woo","181","74","/images/4/43/Ahn_Shin_Woo.jpg"
"1588812149-843","https://wiki.d-addicts.com/Category:KArtist","KWriter","https://wiki.d-addicts.com/Category:KWriter","L","https://wiki.d-addicts.com/index.php?title=Category:KWriter&from=L","Lee Sang Min","https://wiki.d-addicts.com/Lee_Sang_Min","null","null",""
"1588821604-9398","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","J","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=J","Joo Boo Jin","https://wiki.d-addicts.com/Joo_Boo_Jin","158","58","/images/0/04/JuBuJin.jpg"
"1588816009-5196","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","G","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=G","Goo Joon Yup","https://wiki.d-addicts.com/Goo_Joon_Yup","178","68","/images/1/1f/GooJoonYup.jpg"
"1588828371-14307","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","C","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=C","Cha Soon Hyung","https://wiki.d-addicts.com/Cha_Soon_Hyung","180","73","/images/b/b8/Cha_soon_hyung.jpg"
"1588817795-6690","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","L","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=L","Lee Min Chul","https://wiki.d-addicts.com/Lee_Min_Chul","null","null","/images/8/8d/Lee_Min_Chul.jpg"
"1588814324-3486","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","L","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=L","Lee Shi Kang","https://wiki.d-addicts.com/Lee_Shi_Kang","180","64","/images/thumb/7/7e/Kwak_Yong_Hwan.jpg/200px-Kwak_Yong_Hwan.jpg"
"1588814429-3627","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","L","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=L","Lee Ji Young","https://wiki.d-addicts.com/Lee_Ji_Young","null","null","/images/9/93/Lee_Ji_Young.jpg"
"1588826416-12695","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","K","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=K","Kim Hyung Mook","https://wiki.d-addicts.com/Kim_Hyung_Mook","null","null","/images/thumb/0/0e/Kim_Hyung_Mook.jpg/300px-Kim_Hyung_Mook.jpg"
"1588812244-966","https://wiki.d-addicts.com/Category:KArtist","KWriter","https://wiki.d-addicts.com/Category:KWriter","L","https://wiki.d-addicts.com/index.php?title=Category:KWriter&from=L","Lee Duk Jae","https://wiki.d-addicts.com/Lee_Duk_Jae","null","null",""
"1588817690-6613","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","P","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=P","Park Seung Woo","https://wiki.d-addicts.com/Park_Seung_Woo","null","null",""
"1588818034-6862","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","J","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=J","Jung Dong Yoon","https://wiki.d-addicts.com/Jung_Dong_Yoon","null","null","/images/b/b3/Jung_dong_yoon.jpg"
"1588814773-4002","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","K","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=K","Kim Tae Hyung (1995)","https://wiki.d-addicts.com/Kim_Tae_Hyung_(1995)","178","58","/images/thumb/a/a4/Taehyung.jpg/300px-Taehyung.jpg"
"1588825728-12137","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","L","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=L","Lee Sang In","https://wiki.d-addicts.com/Lee_Sang_In","172","65","/images/thumb/3/39/Lee_Sang_In.jpg/300px-Lee_Sang_In.jpg"
"1588813994-3088","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","O","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=O","Oh Se Hun","https://wiki.d-addicts.com/Oh_Se_Hun","183","null","/images/thumb/c/cc/Oh_Se_Hun.jpg/300px-Oh_Se_Hun.jpg"
"1588819469-7897","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","P","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=P","Park Geuri Na","https://wiki.d-addicts.com/Park_Geuri_Na","167","44","/images/b/b5/Park_Gri_Na.jpg"
"1588821322-9204","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","J","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=J","Jung Ji Ah","https://wiki.d-addicts.com/Jung_Ji_Ah","167","46","/images/9/9c/Jung_Ji_Ah.jpg"
"1588814960-4235","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","K","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=K","Kim Jae Wook","https://wiki.d-addicts.com/Kim_Jae_Wook","184","65","/images/thumb/6/62/Kim_Jae_Wook.jpg/175px-Kim_Jae_Wook.jpg"
"1588826241-12545","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","L","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=L","Lee Do Young (1986)","https://wiki.d-addicts.com/Lee_Do_Young_(1986)","181","68","/images/3/32/BaekJongMin.jpg"
"1588826109-12443","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","L","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=L","Lee Hee Joon","https://wiki.d-addicts.com/Lee_Hee_Joon","181","null","/images/e/e0/LeeHeeJoon.jpg"
"1588818884-7480","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","S","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=S","Shin Dong Mi","https://wiki.d-addicts.com/Shin_Dong_Mi","170","null","/images/e/ef/ShinDongMi.jpg"
"1588821854-9562","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","J","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=J","Jang So Yun","https://wiki.d-addicts.com/Jang_So_Yun","164","44","/images/4/4f/JangSoYun.JPG"
