web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,people,people-href,height,weight,image-src
"1588813113-1992","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Izumi Rika","https://wiki.d-addicts.com/Izumi_Rika","166","44","/images/6/62/Izumi_rika.jpg"
"1588813115-1995","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Izumi Pinko","https://wiki.d-addicts.com/Izumi_Pinko","154","null","/images/thumb/d/d1/IzumiPinko.jpg/200px-IzumiPinko.jpg"
"1588815136-4387","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Li Fang Ding","https://wiki.d-addicts.com/Li_Fang_Ding","167","42","/images/thumb/8/8e/Li_Fang_Ding.jpg/300px-Li_Fang_Ding.jpg"
"1588812017-712","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Cyndi Chao","https://wiki.d-addicts.com/Cyndi_Chao","158","48","/images/4/48/Cyndichaw.jpg"
"1588814929-4200","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Mao Ning","https://wiki.d-addicts.com/Mao_Ning","180","70","/images/2/21/MaoNing.jpg"
"1588813348-2291","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Hori Chiemi","https://wiki.d-addicts.com/Hori_Chiemi","159","null","/images/thumb/a/af/Hori_Chiemi.jpg/200px-Hori_Chiemi.jpg"
"1588811626-191","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Nicky Wu","https://wiki.d-addicts.com/Nicky_Wu","173","65","/images/b/be/NickyWu.jpg"
"1588815464-4705","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Cui Zi Ge","https://wiki.d-addicts.com/Cui_Zi_Ge","null","null","/images/thumb/f/f4/Cui_Zi_Ge.jpg/300px-Cui_Zi_Ge.jpg"
"1588814987-4254","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Liu Zi Wei","https://wiki.d-addicts.com/Liu_Zi_Wei","null","null","/images/a/a9/LiuZiWei.jpg"
"1588812879-1722","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Chae Young In","https://wiki.d-addicts.com/Chae_Young_In","170","47","/images/f/ff/ChaeYoungIn.jpg"
"1588813847-2898","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Akina","https://wiki.d-addicts.com/Akina","152","39","/images/a/ad/Akina22.jpg"
"1588813505-2471","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Hagiya Keigo","https://wiki.d-addicts.com/Hagiya_Keigo","null","null","/images/e/eb/Hagiya-keigo.png"
"1588814447-3651","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Cheung Ying Choi","https://wiki.d-addicts.com/Cheung_Ying_Choi","null","null","/images/c/ca/CheungYingChoi.jpg"
"1588814399-3587","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Eddie Ng","https://wiki.d-addicts.com/Eddie_Ng","null","null","/images/f/f0/EddieNg.jpg"
"1588812714-1541","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Deeno","https://wiki.d-addicts.com/Deeno","null","null","/images/b/b6/Deeno.jpg"
"1588812459-1247","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Henry","https://wiki.d-addicts.com/Henry","178","63","/images/thumb/5/59/HenryLau.jpg/300px-HenryLau.jpg"
"1588812930-1778","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Cao Lu","https://wiki.d-addicts.com/Cao_Lu","164","51","/images/thumb/9/9f/Cao_Lu.jpg/300px-Cao_Lu.jpg"
"1588814668-3880","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Wu Jian Fei","https://wiki.d-addicts.com/Wu_Jian_Fei","180","64","/images/3/34/WuJianFei.jpg"
"1588813956-3028","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Roger Kwok","https://wiki.d-addicts.com/Roger_Kwok","178","67","/images/1/15/Roger_Kwok.jpg"
"1588815117-4372","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Li Qi","https://wiki.d-addicts.com/Li_Qi","null","null","/images/2/2d/Li_Qi.jpeg"
"1588814310-3462","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Hacken Lee","https://wiki.d-addicts.com/Hacken_Lee","173","58","/images/4/4d/Hacken_Lee.jpg"
"1588812971-1815","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Bona","https://wiki.d-addicts.com/Bona","163","null","/images/thumb/f/f1/Bona.jpg/300px-Bona.jpg"
"1588813043-1909","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","ALi","https://wiki.d-addicts.com/ALi","null","null","/images/d/da/Ali.jpg"
"1588812188-898","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Ady An","https://wiki.d-addicts.com/Ady_An","165","43","/images/e/ee/AdyAn.jpg"
"1588812927-1775","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Cha Eun Woo","https://wiki.d-addicts.com/Cha_Eun_Woo","183","64","/images/thumb/9/9b/Cha_Eun_Woo.jpg/220px-Cha_Eun_Woo.jpg"
"1588815034-4295","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Liu Cheng Rui","https://wiki.d-addicts.com/Liu_Cheng_Rui","181","64","/images/thumb/2/2a/Liu_Cheng_Rui.png/200px-Liu_Cheng_Rui.png"
"1588812548-1348","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Ha Yun Soo","https://wiki.d-addicts.com/Ha_Yun_Soo","163","42","/images/c/cb/Ha_yun_soo.jpg"
"1588811631-200","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Nicholas Teo","https://wiki.d-addicts.com/Nicholas_Teo","178","62","/images/a/a4/Nicteo.jpg"
"1588811930-602","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Fang Wu","https://wiki.d-addicts.com/Fang_Wu","163","45","/images/thumb/d/de/Fang_Wu.jpg/200px-Fang_Wu.jpg"
