height,weight,image-src
162.0,45.0,/images/d/de/Jessicalee.jpg
173.0,64.0,/images/e/e6/EricWan.jpg
160.0,50.0,/images/thumb/f/f0/MaryHon.jpg/190px-MaryHon.jpg
170.0,47.0,/images/e/e0/Toby_Chan.JPG
163.0,45.0,/images/a/a9/Winnieyeung.jpg
173.0,51.0,/images/c/c0/YumikoCheng.jpg
175.0,64.0,/images/8/89/Johnsonlee.jpg
178.0,64.0,/images/f/f8/ShawnYue.jpg
175.0,48.0,/images/3/33/Yuchiu.png
178.0,75.0,/images/thumb/4/48/MichaelTao.jpg/300px-MichaelTao.jpg
175.0,63.0,/images/b/b3/OscarChan.jpg
165.0,43.0,/images/e/e6/AngelHo.jpg
180.0,72.0,/images/0/09/Kim_Joon_Sung.jpg
174.0,67.0,/images/a/ae/Jingang.jpg
178.0,65.0,/images/1/1d/Nathan_Ngai.JPG
182.0,64.0,/images/4/4c/StephenWong.jpg
163.0,45.0,/images/6/6c/Annie_Man.jpg
178.0,73.0,/images/9/9f/Norman_Tsui.jpg
180.0,80.0,/images/a/a2/MichaelMiu.jpg
185.0,70.0,/images/5/5d/EddieLee.jpg
178.0,70.0,/images/thumb/7/7e/Tang_Wen_Long.jpg/200px-Tang_Wen_Long.jpg
168.0,47.0,/images/thumb/f/f3/ClaireYiu.jpg/200px-ClaireYiu.jpg
174.0,50.0,/images/e/e3/SharonCHANheadshot.jpg
170.0,57.0,/images/9/93/Hoyan_Mok.jpg
180.0,82.0,/images/2/29/TiLung.jpg
171.0,54.0,/images/6/6d/KimmyKwan.jpg
160.0,42.0,/images/b/b7/JoeyMak.jpg
165.0,45.0,/images/f/f9/CharmaineLi.jpg
167.0,50.0,/images/c/c4/Carina.jpg
165.0,45.0,/images/4/49/Sukichui.png
168.0,51.0,/images/thumb/6/68/LuluNg.jpg/150px-LuluNg.jpg
162.0,43.0,/images/thumb/a/a5/ShirleyYeung.jpg/190px-ShirleyYeung.jpg
183.0,75.0,/images/4/41/ChrisLaiLokYi.jpg
179.0,55.0,/images/d/d8/Lynn_Hung.jpg
163.0,45.0,/images/4/43/KatyKung.jpg
180.0,68.0,/images/b/b0/FrancisNg.jpg
164.0,43.0,/images/d/d3/EricaYuen.jpg
169.0,45.0,/images/a/a2/VankoWong.jpg
175.0,64.0,/images/5/51/OscarLeung.jpg
168.0,49.0,/images/thumb/e/ee/Mandy_Cho.JPG/200px-Mandy_Cho.JPG
175.0,74.0,/images/8/8c/ChengShuFung.jpg
162.0,52.0,/images/a/ab/KikiSheung.jpg
164.0,50.0,/images/3/3b/SherenTang.JPG
172.0,47.0,/images/8/8f/Wylie_Chiu.jpg
178.0,82.0,/images/thumb/3/38/Benng.jpg/200px-Benng.jpg
171.0,54.0,/images/0/08/Eileen_Yeow.jpg
175.0,80.0,/images/f/fd/Johnchiang.jpg
180.0,77.0,/images/b/bf/Philipkeung.jpg
185.0,76.0,/images/b/b7/DavidSiu.jpg
170.0,48.0,/images/a/ac/Mandy_Lieu.jpg
180.0,73.0,/images/8/88/Marco_Ngai.jpg
168.0,48.0,/images/6/6c/AnnieHeung.jpg
163.0,45.0,/images/a/aa/Cerina_da_Graca.jpg
165.0,45.0,/images/3/36/Calinda_Chan.jpg
178.0,71.0,/images/7/76/CalvinLui.jpg
168.0,50.0,/images/a/af/IvaLaw.jpg
163.0,47.0,/images/3/39/CandyChu.jpg
165.0,45.0,/images/c/cf/KwanHoiSan.jpg
170.0,54.0,/images/b/be/Kateyeung.jpg
166.0,48.0,/images/b/bc/Stephytang.png
168.0,52.0,/images/b/bd/FlorenceKwok.jpg
162.0,45.0,/images/1/1e/Noelleung.jpg
176.0,68.0,/images/5/57/KelvinLeung.jpg
165.0,50.0,/images/5/55/Margaretchung.png
183.0,74.0,/images/6/66/WilliamChow.jpg
164.0,46.0,/images/f/fe/Esther_Kwan.jpg
173.0,50.0,/images/5/55/Vivienyeo.png
168.0,50.0,/images/0/03/Manecy.jpg
168.0,53.0,/images/1/14/Rubyanne_Choi.jpg
168.0,48.0,/images/1/15/Rebecca_Zhu.JPG
168.0,45.0,/images/e/e9/AnitaYuen.jpg
180.0,78.0,/images/e/e9/TongChunChung.jpg
168.0,51.0,/images/2/2c/Monicachan.png
183.0,72.0,/images/f/f1/WallaceChung.jpg
